Response ID	Which best describes your primary work area?	"If you selected Other, please describe your primary work area "	How many years have you worked in the software industry? (decimals okay)	How many years have you worked at Microsoft? (decimals okay)		How many developers are on your immediate team (including yourself)?	Is it a policy in your team to perform code reviews?	"What are your motivations for code review? Please pick the three most important ones (in order, without ties) from the following list"	"If you have other motivations for code review that are in the top three but are not listed above, please list them here."		Consider the following questions from the perspective of you being the reviewer of a code review submission.	"As a reviewer, under which conditions do you need to talk in person to the author of a code review submission?"	"As a reviewer, if the files being modified by a code review submission are owned by you (or you are very familiar with them), how often do you talk in person with the author of the code review?"	"As a reviewer, if the files being modified by a code review submission are unfamiliar to you (or are new), how often do you talk in person with the author of the code review?"	Does it take longer to review files that you are not familiar with (or files that are new)?	Why or why not?	How much understanding of the code review submission do you need for achieving the following:		Consider the following questions from the perspective of you being the author of a code review submission.	How do you select the people to send your code review to?	Is there a difference in comments/feedback you receive when a reviewer is very familiar with or the owner of the files you changed in a code review? 	"If there is a difference, what is different in the comments/feedback?"	"If you have any additional feedback that you feel would be helpful to our research in this area, please share it here.  (Remember that the survey is anonymous, so please enter your alias below if your feedback requires follow-up.)"	"If you would like to be notified with the results of our research, please email us (alias cbird) or enter your alias here and we will send it to you when it is completed."	"If you would like to be entered into a drawing for one of two $50 Amazon gift cards, please enter your alias here or, if you are worried about anonymity, email us (alias cbird) with subject ""Code Review Survey Drawing""."
6503243	Development		9	6		6	Yes	Keeping track of comments and rationale on code changes / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important					between 50% and 75% of the time	between 25% and 50% of the time	Yes		"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"								
6503245	Test		3	1		9	Yes	"Avoiding build breaks / First Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / First Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / First Most Important;#Keeping track of comments and rationale on code changes / First Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / First Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / First Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				When i can't understand the responses or code.	between 25% and 50% of the time	between 25% and 50% of the time	No	I can find the user who modified the file using tfs and read the comments for the checkin.	"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / High understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			people who have worked on the same files or modifying them.	Yes	The comments are more specific			rakashya
6503247	Development		7	5		10	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Third Most Important;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"					between 50% and 75% of the time	between 50% and 75% of the time	Yes		"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Complete understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"				Yes			martgag	martgag
6503248	Development		14	12		50	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Second Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / First Most Important;#Keeping track of comments and rationale on code changes / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / First Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"	"Catching performance issues (especially with sql code) We built somve v-teams with areas of expertise like *sql, security etc) and make sure that the code is reviewed by someone from the vteam"			If the code is too complex If code review comments are not resolved after 2 iterations	up to 25% of the time	up to 25% of the time	Yes		"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / High understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			"People who co own the components My manager's immediate team People from virtual team with expertise in particular technologies (eg sql, secrity)"	Yes			vtadas	vtadas
6503249	Development		7	6		40	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Second Most Important;#Finding defects/bugs / First Most Important;#Generate better ideas, alternative approaches / First Most Important;#Helping improving the development process in general / First Most Important;#Keeping track of comments and rationale on code changes / Second Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Second Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Second Most Important"					up to 25% of the time	up to 25% of the time	Yes										
6503250	Development		25	6		6	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Third Most Important"					up to 25% of the time	between 25% and 50% of the time	Yes		"Avoiding build breaks / High understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / High understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Little understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			By default I send to our entire dev team	Yes	More comments from people who are familiar with the code		dfandel	dfandel
6503251	Development		7.1	5.66		6	Yes	"Avoiding build breaks / Second Most Important;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / First Most Important;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Second Most Important;#Helping improving the development process in general / Second Most Important;#Keeping track of comments and rationale on code changes / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Second Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Second Most Important;#Team Awareness/Transparency (knowing what is going on in the development) / Third Most Important"					between 50% and 75% of the time	More than 75% of the time	Yes		"Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / Little understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"				Yes			sreekarm	sreekarm
6503252	Test		12	7		5	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Third Most Important;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				"To get a better understanding of the review and purpose of the review, or possible alternative solutions to the problem being fixed."	up to 25% of the time	between 25% and 50% of the time	Yes	Need to read surrounding code to understand interaction.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Little understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / No understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / Complete understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / No understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			"File owners, stakeholders, team members"	Yes	More comprehensive feedback; less superficial			jvarga
6503254	Development		15	2		3	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / Not Top 3 Importance;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Third Most Important;#Keeping track of comments and rationale on code changes / Not Top 3 Importance;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / First Most Important"				"large code changes, new code."	up to 25% of the time	Never	Yes	need to understand the code first.	"Avoiding build breaks / Little understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / High understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / High understanding;#Finding defects/bugs / High understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / Little understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Little understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / No understanding;#Team Awareness/Transparency (knowing what is going on in the development) / Little understanding"			team members.	No				anpaz
6503255	Test		1.4	1.4		60	Yes	"Avoiding build breaks / Not Top 3 Importance;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / First Most Important;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Not Top 3 Importance;#Finding defects/bugs / Second Most Important;#Generate better ideas, alternative approaches / Not Top 3 Importance;#Helping improving the development process in general / Not Top 3 Importance;#Keeping track of comments and rationale on code changes / Third Most Important;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Not Top 3 Importance;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Not Top 3 Importance;#Team Awareness/Transparency (knowing what is going on in the development) / Not Top 3 Importance"				* in case of a major code change / redesign that I feel is needed;   * to train interns / new team members re good design practices	up to 25% of the time	up to 25% of the time	Yes	"there might be design decisions that were not explained well in comments, in which case it takes more time to understand the implementation"	"Avoiding build breaks / No understanding;#Code Improvement (e.g., better readability, improved comments, removing dead/duplicate code) / No understanding;#Collective Code Ownership (i.e., make developers less “protective” of their code) / Little understanding;#Finding defects/bugs / Little understanding;#Generate better ideas, alternative approaches / High understanding;#Helping improving the development process in general / High understanding;#Keeping track of comments and rationale on code changes / Little understanding;#Shared Technical Learning (e.g., APIs, System Design, Team Conventions, Best Practices) / Complete understanding;#Team Assessment (i.e., evaluating the ability of team members to review code and write code well) / Complete understanding;#Team Awareness/Transparency (knowing what is going on in the development) / High understanding"			2-3 people who are familiar with that area of the product  one senior developer with broad technical understanding of the product	No			miketeod	miketeod
